 alpha_m, ax_racetraj_mps2, kappa_racetraj_radpm, psi_racetraj_rad, s_racetraj_m, vx_racetraj_mps, width_left_m, width_right_m, x_normvec_m, y_normvec_m, y_ref_m,delta_s,x_bound_l,x_bound_r,x_raceline,x_ref_m,y_bound_l,y_bound_r,y_raceline
0.553084,4.44088,-0.0480655,3.13582,0,6.54534,0.858221,0.754179,-0.999083,0.0428166,5.24871,2.18483,-12.7896,-14.4005,-14.1996,-13.647,5.21197,5.281,5.27239
0.439636,-9.56617,0.0585749,-3.14032,2.18483,6.8736,0.860364,0.639636,-0.997923,0.0644218,3.05989,0.792763,-12.9515,-14.4484,-14.2488,-13.8101,3.00447,3.1011,3.08822
0.367822,-2.50871,0.262029,-3.00462,2.97759,6.17702,0.889764,0.610236,-0.999988,0.0049105,2.29531,0.696739,-12.95,-14.45,-14.2076,-13.8398,2.29094,2.29831,2.29712
0.235917,-0.761502,0.329014,-2.80772,3.67433,6.02032,0.86317,0.63683,-0.995069,-0.0991884,1.64378,0.675461,-12.9538,-14.4464,-14.0474,-13.8127,1.72939,1.58061,1.62038
0.0567349,0.0409855,0.316956,-2.5771,4.34979,5.95699,0.747472,0.752528,-0.957057,-0.289899,1.03104,0.698794,-12.9822,-14.4178,-13.7519,-13.6976,1.24773,0.812881,1.01459
-0.0782817,2.17451,0.244934,-2.38098,5.04858,6.08926,0.333586,1.16641,-0.768793,-0.639498,0.416625,0.813817,-13.1237,-14.2769,-13.3199,-13.3801,0.629953,-0.329294,0.466686
0.0451342,-2.17027,0.258669,-2.20782,5.8624,6.24274,0.764902,0.835098,-0.28765,-0.957736,-0.0262189,0.698247,-12.4759,-12.9362,-12.7089,-12.696,0.706355,-0.826022,-0.0694455
0.296033,-0.75043,0.320672,-1.99449,6.56065,6.11731,0.866464,0.733536,-0.0691022,-0.99761,-0.126293,0.65383,-12.0272,-12.1378,-12.1076,-12.0871,0.7381,-0.858075,-0.421618
0.484827,0.0631026,0.3049,-1.78797,7.21448,6.06087,0.829414,0.770586,0.0109609,-0.99994,-0.139415,0.693769,-11.5016,-11.484,-11.4872,-11.4925,0.689949,-0.909955,-0.624213
0.581257,4.25113,0.179545,-1.6075,7.90825,6.23075,0.814165,0.785835,0.0230369,-0.999735,-0.124138,2.1581,-10.8312,-10.7944,-10.7991,-10.8125,0.689811,-0.909764,-0.705241
0.577878,4.14807,0.0087049,-1.54767,10.0664,7.5791,0.798758,0.801242,-0.0058376,-0.999983,-0.10876,2.22904,-8.63318,-8.64252,-8.64121,-8.63784,0.689984,-0.909988,-0.686628
0.483945,3.7898,-0.0013387,-1.5395,12.2954,8.67805,0.829287,0.773526,-0.0171916,-0.999852,-0.137832,2.21452,-6.39054,-6.4181,-6.41312,-6.4048,0.691333,-0.911244,-0.621705
0.391995,3.46943,-0.0112948,-1.55324,14.5099,9.55429,0.811708,0.788292,-0.0103206,-0.999947,-0.171671,2.1667,-4.18696,-4.20347,-4.19938,-4.19533,0.639994,-0.959921,-0.563645
0.390448,3.17614,-0.0153268,-1.58767,16.6766,10.2912,0.80992,0.79008,0.0135758,-0.999908,-0.169908,2.22104,-2.04909,-2.02737,-2.0328,-2.0381,0.639937,-0.959916,-0.56032
0.498951,2.90765,-0.0032894,-1.60827,18.8977,10.9224,0.76643,0.83357,0.0204296,-0.999791,-0.126438,2.18684,0.161398,0.194085,0.187249,0.177056,0.639832,-0.959834,-0.625285
0.604136,2.66185,0.00729,-1.60321,21.0845,11.4698,0.74565,0.861865,-0.0025983,-0.999997,-0.101892,2.2284,2.3761,2.37193,2.3726,2.37417,0.643756,-0.963754,-0.706026
0.598976,-12.7633,0.0122249,-1.58039,23.3129,9.95353,0.797244,0.804082,-0.0486019,-0.998818,-0.156592,2.16841,4.66827,4.59044,4.60041,4.62952,0.63971,-0.959724,-0.75486
0.463379,-11.4194,0.0214688,-1.57533,25.4813,6.5442,0.944453,0.669064,-0.0544823,-0.998515,-0.297362,0.678996,6.84551,6.7576,6.76881,6.79405,0.645688,-0.965433,-0.760054
0.422555,-3.82047,0.256445,-1.48835,26.1603,5.72733,0.962152,0.641722,-0.0094,-0.999956,-0.320206,0.69951,7.46036,7.44528,7.44734,7.45131,0.641903,-0.9619,-0.742742
0.307253,-0.683937,0.394145,-1.24989,26.8598,5.4835,0.953311,0.672603,0.0823164,-0.996606,-0.299828,0.6833,8.02785,8.16169,8.13162,8.10633,0.650248,-0.970148,-0.606038
0.105583,0.1199,0.383692,-0.971119,27.5431,5.42446,0.867589,0.782329,0.26171,-0.965147,-0.200754,0.670497,8.48681,8.91861,8.7415,8.71387,0.636597,-0.955816,-0.302656
-0.0575389,4.64505,0.0373486,-0.807778,28.2136,5.71492,0.616723,1.28328,0.665744,-0.74618,0.0873799,0.681394,8.88001,10.1449,9.25228,9.29059,0.547567,-0.870176,0.130314
0.0895346,-1.36186,0.323706,-0.669172,28.895,5.87579,0.676076,1.02392,0.954464,-0.298326,0.65247,0.670645,8.98851,10.6111,9.71926,9.6338,0.854162,0.347007,0.62576
0.334537,-0.726075,0.358378,-0.445151,29.5656,5.76402,0.789505,0.910495,0.995552,-0.0942094,1.22534,0.692383,8.95386,10.6463,10.0729,9.73985,1.29972,1.13956,1.19382
0.518041,0.249214,0.341381,-0.193178,30.258,5.70188,0.818181,0.781819,0.999938,-0.0111151,1.85639,0.667029,8.95005,10.5499,10.2862,9.76818,1.86549,1.8477,1.85063
0.580512,4.57831,0.126357,-0.0157361,30.9251,5.999,0.81792,0.78208,0.999993,0.0038225,2.51169,2.19203,8.94986,10.5499,10.3483,9.76778,2.50857,2.51468,2.51391
0.502762,4.19971,-0.001098,-0.0010056,33.1171,7.40728,0.896747,0.703253,0.998484,-0.0550447,4.73361,1.51915,8.95126,10.5488,10.3486,9.84665,4.78297,4.69489,4.70593
0.433932,-3.42056,0.250704,0.104026,34.6362,5.97787,0.939899,0.660101,0.999857,0.0169413,6.21693,0.661892,8.95013,10.5499,10.3238,9.8899,6.201,6.22811,6.22428
0.339338,-0.876159,0.352913,0.306047,35.2981,5.75812,0.907115,0.692885,0.995194,0.0979201,6.83895,0.667389,8.95378,10.5461,10.1942,9.85654,6.75012,6.9068,6.87218
0.165803,-0.469512,0.366196,0.543108,35.9655,5.68186,0.758304,0.741696,0.970494,0.241127,7.43828,0.693095,9.02197,10.4777,9.91881,9.7579,7.25543,7.61712,7.47826
-0.0373931,1.1385,0.316643,0.789796,36.6586,5.6797,0.529736,1.07026,0.854251,0.519862,8.03811,0.694085,9.06703,10.4338,9.48761,9.51956,7.76272,8.5945,8.01867
-0.0737976,4.55769,0.0588274,0.89866,37.3527,6.0841,0.624755,0.975245,0.446862,0.894603,8.533,0.66047,8.712,9.42698,8.9582,8.99118,7.97409,9.40546,8.46698
0.148043,-0.623851,0.299664,1.04624,38.0132,6.28366,0.807787,0.792213,0.129034,0.99164,8.69768,0.698452,8.29378,8.50024,8.41712,8.39801,7.89665,9.48327,8.84449
0.391767,-0.625847,0.30849,1.26111,38.7116,6.19917,0.842931,0.757069,0.0053051,0.999986,8.73295,0.652099,7.77226,7.78075,7.77881,7.77673,7.89003,9.49001,9.12471
0.536606,1.01623,0.266236,1.45188,39.3637,6.19402,0.832904,0.767096,-0.0264629,0.99965,8.72289,0.683109,7.17801,7.13567,7.14177,7.15597,7.89027,9.48971,9.2593
0.582204,4.43948,0.0341237,1.56859,40.0468,6.55067,0.817692,0.782308,-0.0174999,0.999847,8.70768,2.16888,6.48423,6.45623,6.45973,6.46992,7.89011,9.48987,9.28979
0.571992,4.07236,0.0056421,1.5903,42.2157,7.82423,0.804992,0.795008,0.0034406,0.999994,8.69493,2.23352,4.28628,4.29178,4.29101,4.28905,7.88994,9.48993,9.26691
0.502622,3.72062,-0.0025099,1.59378,44.4492,8.87458,0.823416,0.776584,0.0107584,0.999942,8.71341,2.2103,2.04381,2.06103,2.05808,2.05267,7.89005,9.48995,9.21601
0.445714,3.4061,-0.0107543,1.57933,46.6595,9.71815,0.842226,0.757774,0.0038221,0.999993,8.73222,2.15411,-0.156794,-0.150679,-0.151872,-0.153575,7.89,9.48999,9.17793
0.468068,3.12443,-0.0103082,1.55193,48.8136,10.4158,0.783168,0.820029,-0.0129312,0.999916,8.72157,2.21261,-2.28969,-2.31043,-2.30587,-2.29982,7.93847,9.54153,9.1896
0.557014,2.85458,-0.0002021,1.54015,51.0262,11.0429,0.751623,0.848377,-0.0097702,0.999952,8.69163,2.19291,-4.50489,-4.52053,-4.51768,-4.51224,7.94004,9.53996,9.24861
0.613497,2.61852,0.0072258,1.54844,53.2191,11.5636,0.75618,0.84382,0.0173791,0.999849,8.69622,2.20126,-6.73354,-6.70573,-6.70973,-6.7204,7.94015,9.53991,9.30962
0.558097,-12.9188,0.0092896,1.56777,55.4204,9.29673,0.840956,0.759044,0.0604393,0.998172,8.78092,2.23301,-8.99533,-8.89863,-8.91078,-8.94451,7.9415,9.53858,9.338
0.406467,-3.587,0.24414,1.66461,57.6534,5.99429,0.933149,0.694533,0.0135227,0.999909,8.9093,0.656653,-11.1612,-11.1392,-11.1431,-11.1486,7.97624,9.60377,9.31573
0.296344,-0.867804,0.351882,1.86467,58.3101,5.76859,0.906279,0.693721,-0.064879,0.997893,8.89599,0.656745,-11.7088,-11.8126,-11.7868,-11.7676,7.99162,9.58825,9.19171
0.111322,-0.364836,0.361256,2.10055,58.9668,5.6945,0.828764,0.771236,-0.211861,0.9773,8.81788,0.686402,-12.1868,-12.5258,-12.386,-12.3624,8.00793,9.57161,8.92668
-0.0790548,4.60835,0.0794208,2.30195,59.6532,5.87282,0.607596,1.11083,-0.550776,0.834653,8.57908,0.664733,-12.6412,-13.5876,-12.9323,-12.9758,8.07195,9.50624,8.5131
0.0112803,-1.68916,0.300411,2.39058,60.3179,5.95364,0.587708,1.01229,-0.91748,0.397782,8.05189,0.698829,-12.8653,-14.3333,-13.4149,-13.4045,7.81811,8.45456,8.05638
0.266094,-0.753587,0.349761,2.62617,61.0168,5.83584,0.761458,0.838542,-0.989553,0.144171,7.45441,0.699275,-12.8085,-14.3917,-13.8253,-13.562,7.34463,7.5753,7.49277
0.473365,-0.307031,0.351108,2.87484,61.716,5.75831,0.714336,0.785664,-0.99921,0.039739,6.82761,0.673505,-12.9006,-14.3994,-14.0874,-13.6144,6.79922,6.85883,6.84642
0.561978,3.84621,0.214304,3.08441,62.3896,5.89848,0.727441,0.772559,-0.999945,0.010453,6.17603,0,-12.9003,-14.4002,-14.1896,-13.6277,6.16843,6.1841,6.1819
